Game8
 yoshi : 4                             Nishikawa Kiyokazu : 10
  1)                                   53: 8/3 6/3                       
  2)  Doubles => 2                      Takes                            
  3) 31: 8/5 6/5                       31: 8/5 6/5                       
  4) 64: 8/2 6/2                       66: 24/18(2) 13/7(2)              
  5) 22: 13/11 8/4 6/4                 54: 18/14* 13/8                   
  6) 52: Bar/23 13/8                   51: 18/13 14/13                   
  7) 43: 24/21 13/9                    31: 8/7 8/5                       
  8) 61: 24/23 9/3                     41: 7/6 5/1                       
  9) 63: 13/7 8/5                      64: 13/3                          
 10) 44: 21/17 13/9 7/3 5/1            22: 13/11(3) 3/1                  
 11) 32: 9/4                           65: 11/5 6/1                      
 12) 62: 17/9                          43: 11/7 6/3                      
 13) 51: 9/3                           21: 11/10 7/5                     
 14) 32: 23/21 4/1                     32: 10/5                          
 15) 42: 21/15                         32: 5/3 5/2*                      
 16) 54: Bar/21 15/10                  62: 7/5 7/1                       
 17) 63: 10/1                          43: 6/3 6/2                       
 18) 42: 21/15                         51: 5/Off 1/Off                   
 19) 43: 15/8                          41: 5/Off                         
 20) 61: 8/2 1/Off                     66: 5/Off(2) 3/Off(2)             
 21) 32: 3/Off 2/Off                   66: 3/Off(3) 2/Off                
 22) 32: ????                           Wins 2 point and the match




