Game1
 fairytails : 0                 ayumi@tamao- : 0
  1) 32: 13/10 13/11             24: 6/4 8/4 
  2) 42: 8/4 6/4                 16: 8/7 13/7 
  3) 46: 11/7 13/7               11: 24/23 24/23 6/5 6/5
  4) 36: 13/10 13/7              25: 13/11 13/8 
  5) 36: 10/7 7/1                36: 13/10 11/5 
  6) 65: 10/4 6/1                11: 23/22 23/22 10/9 9/8
  7) 25: 24/22 7/2               16: 13/12 12/6 
  8) 11: 24/23 23/22 6/5 5/4     11: 8/7 7/6 6/5 5/4
  9) 15: 7/6 7/2                 12: 4/2 2/1 
 10) 25: 4/2 6/1                 24: 6/4 5/1 
 11) 26: 22/16 16/14             26: 8/6 8/2 
 12) 44: 14/10 10/6 8/4 8/4      14: 7/3* 3/2 
 13) 25:                          Doubles => 2
 14)  Drops                       Wins 1 point 

 
