Game8
 Mads Andersen : 9               Stu Dunkin : 4
  1) 31: 8/5 6/5                 64: 8/2 6/2 
  2) 31: 24/21 6/5               55: 8/3 8/3 6/1* 6/1 
  3) 52: 25/20 13/11             64: 24/18 18/14* 
  4) 53: 25/20 13/10             62: 14/8 8/6 
  5) 61: 10/4 5/4                65: 24/18 18/13 
  6) 52: 13/8 6/4                11: 3/2 3/2 2/1 2/1 
  7) 54: 8/3 8/4                 65: 13/7 7/2 
  8) 41: 8/4 4/3                 64: 13/7 7/3 
  9) 55: 20/15 20/15 13/8 13/8   41: 6/2 2/1 
 10) 51: 8/3 3/2                 64: 13/7 7/3 
 11) 61: 8/2 4/3                 62: 13/7 7/5 
 12) 52: 6/1 3/1                 64: 13/7 5/1 
 13) 64: 15/9 15/11              51: 13/8 8/7 
 14) 33: 11/8 9/6 8/5 5/2         Doubles => 2
 15)  Drops                       Wins 1 point

 
