Game2
 Hollederer,1920 : 0             Schiemann,1960 : 8
  1) 54: 13/8 13/9               51: 13/8 6/5 
  2) 63: 9/3 6/3                 66: 24/18 24/18 13/7 13/7 
  3) 51: 8/3 24/23               64: 8/2* 6/2 
  4) 33: 25/22 8/5 8/5 8/5       22: 7/5 7/5 5/3* 3/1* 
  5) 43: 25/21 25/22             53: 8/3* 6/3 
  6) 52:                         64: 13/7 8/4* 
  7) 32:                         53: 8/3 7/4 
  8) 61: 25/24*                  63: 
  9) 44:                         52: 25/23 23/18 
 10) 42:                         65: 13/7 18/13 
 11) 51: 25/24 6/1               21: 13/11 7/6 
 12) 51: 6/1 3/2                  Doubles => 2
 13)  Takes                      31: 6/3 3/2 
 14) 42: 6/2 6/4                 21: 11/9 9/8 
 15) 62: 13/11 11/5              65: 8/2 18/13 
 16) 65: 13/7* 13/8              54: 25/21* 13/8 
 17) 33:                         21: 21/19 19/18* 
 18) 52:                         31: 8/5 18/17* 
 19) 41: 25/24                   61: 17/11 11/10 
 20) 22:                         31: 10/7 7/6 
 21) 54:                         52: 5/0 6/4 
 22) 64:                         11: 6/5 6/5 5/4 5/4 
 23) 62: 25/19                   42: 4/0 2/0 
 24) 52:                         32: 5/2 5/3 
 25) 21: 25/24 19/17             51: 4/0 4/3 
 26) 53: 24/19 19/16             63: 4/0 3/0 
 27) 22: 17/15 16/14 15/13 14/12 66: 4/0 3/0 3/0 3/0 
 28) 63: 24/18 12/9              66: 3/0 2/0 2/0 2/0 
 29) 65: 18/12 13/8              43: 2/0 
                                  Wins 3 points and the match
