Game6
 Malcolm Davis : 3               Frank Talbot : 7
  1)                             42: 8/4 6/4 
  2) 54: 13/8 24/20              23: 8/5* 13/11 
  3) 65: 25/20* 20/14*           53: 25/20 25/22 
  4) 41: 24/20 14/13             66: 24/18 24/18 13/7 13/7 
  5) 61: 20/14 14/13             52: 8/3 7/5 
  6) 41: 13/9 9/8                51: 20/15 6/5 
  7) 61: 8/2 2/1                 41: 7/3 6/5 
  8) 62: 8/2 8/6                 54: 15/10 10/6 
  9) 65: 8/2 13/8                31: 6/3 3/2 
 10) 64: 13/9 9/3*                Doubles => 2
 11)  Takes                      61: 25/24* 13/7 
 12) 64:                         26: 13/7 24/22* 
 13) 11: 25/24 25/24 24/23* 24/23 14: 25/24 22/18 
 14) 42: 8/4 6/4                 41: 18/17* 17/13 
 15) 61: 25/24 23/17             53: 7/2* 5/2 
 16) 42:                         43: 24/20 20/17 
 17) 53:                         61: 7/1* 17/16 
 18) 62:                         64: 18/14 14/8* 
 19) 66:                         53: 13/8 8/5 
 20) 32:                         31: 5/2 2/1 
 21) 66:                         42: 18/14 16/14 
 22) 66:                         22: 8/6 6/4 6/4 6/4 
 23) 22:                         62: 14/8 4/2 
 24) 61: 25/19                   32: 8/6* 6/3 
 25) 22:                         63: 14/8 8/5 
 26) 43:                         65: 5/0 5/0 
 27) 53: 25/20*                  65: 25/20 20/14 
 28) 21:                         36: 14/8 4/1 
 29) 54: 25/20                   22: 8/6 6/4 3/1 2/0 
 30) 65: 25/19 20/15             65: 4/0 4/0 
 31) 53: 20/15 15/12             32: 3/0 2/0 
 32) 54: 15/10 10/6              61: 4/0 1/0 
 33) 62: 12/6 13/11              62: 4/0 2/0 
 34) 62: 11/5 19/17              61: 3/0 1/0 
                                  Wins 4 points

 
