Game8
 Brian Barber,1814 : 5           Ray Fogerlund,1798 : 8
  1) 51: 13/8 24/23              61: 13/7 8/7 
  2) 53: 8/3 6/3                 51: 13/8 24/23 
  3) 61: 8/2* 2/1*               32: 25/23 
  4)  Doubles => 2                Takes
  5) 55: 13/8 13/8 8/3 6/1       42: 25/23 13/9 
  6) 65: 13/7 13/8               52: 9/4 6/4 
  7) 11: 23/22 7/6 6/5 6/5       31: 8/5 6/5 
  8) 41: 8/4 24/23               32: 6/3* 23/21* 
  9) 65:                         62: 13/7 23/21 
 10) 52: 25/23                   32: 13/10 10/8 
 11) 52: 25/23 8/3               43: 7/3 21/18 
 12) 22: 8/6 8/6 6/4* 6/4        42: 25/23 18/14 
 13) 41: 5/1 5/4                 65: 14/8 8/3 
 14) 64: 6/2*                    44: 
 15) 53: 6/1 4/1                 61: 25/19 8/7 
 16) 62: 4/2                     65: 7/1 19/14 
 17) 42: 4/2                     33: 14/11 7/4 7/4 4/1 
 18) 54: 23/18 18/14*            62: 25/19 19/17 
 19) 32: 14/11 11/9              53: 17/12 12/9 
 20) 54: 23/18 18/14             63: 8/2* 8/5 
 21) 52: 25/23* 23/18            52: 25/20 9/7* 
 22) 65:                         61: 20/14 7/6 
 23) 41:                         63: 14/11* 11/5 
 24) 41:                         54: 5/0 4/0 
 25) 65:                         51: 6/1 1/0 
 26) 21: 25/23                   63: 6/0 6/3 
 27) 41:                         43: 4/0 3/0 
 28) 41: 25/21* 3/2              61: 25/19 19/18 
 29) 52: 23/18 9/7*               Doubles => 4
 30)  Drops                       Wins 2 points

 
