Game5
 Seiichi Nagai : 3                     Takeo Takizawa@Chiba-O : 5
  1) 62: 24/18 13/11                   62: 13/11 13/7*                   
  2) 64: Bar/21 24/18*                 52: Bar/20 13/11                  
  3) 44: 13/5*(2)                      64: Bar/21 13/7*                  
  4)  Doubles => 2                      Takes                            
  5) 62: Bar/23 11/5                   22: 11/7 6/4*(2)                  
  6) 52: Bar/20 6/4*                   55: Cannot Move                   
  7) 33: 23/20 13/4                    61: Bar/24 13/7                   
  8) 53: 8/3 6/3                       52: 11/4                          
  9) 65: 20/15 20/14                   62: 8/2 4/2                       
 10) 32: 15/13 14/11                   32: 8/5 7/5                       
 11) 64: 13/7 11/7                     63: 7/1 6/3                       
 12) 52: 13/6                          21: 7/6 3/1                       
 13) 54: 8/4 8/3                       52: 8/3 6/4                       
 14) 21: 4/2 3/2                       54: 6/2 6/1                       
 15) 53: 7/4 7/2                       41: 5/1 4/3                       
 16) 32: 6/3 2/Off                     61: 24/17                         
 17) 41: 6/5 4/Off                     64: 17/7                          
 18) 43: 6/3 6/2                       63: 24/15                         
 19) 61: 5/4 5/Off                     42: 15/11 7/5                     
 20) 32: 4/1* 3/1                      54: Cannot Move                   
 21) 32: 3/Off 2/Off                   41: Cannot Move                   
 22) 41: 4/3 4/Off                     43: Bar/21 11/8                   
 23) 21: 2/Off 1/Off                   43: 21/14                         
 24) 63: 5/Off 3/Off                   11: 14/12 8/6                     
 25) 54: 5/Off 3/Off                   22: ????                          
      Wins 2 point



 
