Game1
 yoshi : 0                             TJ : 0
  1)                                   61: 13/7 8/7                      
  2) 21: 13/11 6/5                     54: 24/20* 20/15                  
  3) 64: Bar/21 11/5                   64: 24/20* 20/14                  
  4) 32: Bar/22 13/11*                 43: Bar/22 15/11                  
  5) 51: 22/21 13/8                    52: 13/11 13/8                    
  6) 32: 8/5 6/4                       54: 22/13                         
  7) 33: 11/5 8/5 6/3                  43: 11/8 11/7                     
  8) 54: 8/4 8/3                       55: 13/3 8/3(2)                   
  9) 54: 13/4                          61: 13/7 13/12*                   
 10) 53: Bar/20 5/2                     Doubles => 2                     
 11)  Takes                            64: 12/6 7/3                      
 12) 51: 20/14                         61: 8/2 3/2                       
 13) 33: 14/2                          31: 8/5 6/5                       
 14) 62: 21/13                         51: 7/2 6/5                       
 15) 64: 21/17 13/7                    41: 7/6 7/3                       
 16) 61: 17/10                         53: 5/Off 3/Off                   
 17) 53: 10/5 4/1                      54: 6/2 5/Off                     
 18) 52: 7/2 5/3                       53: 6/3 5/Off                     
 19) 42: 24/20 3/1                     21: 3/1* 2/1                      
 20) 64: Bar/21 20/14                  11: 6/5(3) 1/Off                  
 21) 32: 14/9                          41: 5/Off                         
 22) 31: 9/5                           21: 2/Off 1/Off                   
 23) 31: 5/1                           66: 5/Off(2) 3/Off(2)             
 24) 54: 21/12                         55: 3/Off 2/Off(2)                
                                        Wins 4 point



 
