Game10
 shimohei,1892 : 7                toshi,1786 : 9
  1)                             56: 24/18 18/13
  2) 22: 6/4 6/4 13/11 13/11     64: 8/2 6/2
  3) 24: 13/9 11/9               44: 13/9 13/9 9/5 9/5
  4) 46: 13/7 11/7               36: 13/7 7/4
  5)  Doubles => 2                Takes
  6) 35: 24/21 21/16             32: 25/22 24/22
  7) 64: 16/10 13/9              24: 8/4 6/4
  8) 55: 7/2 7/2 6/1 10/5        32: 22/20 13/10
  9) 44:                         51: 13/8 13/12
 10) 61: 25/24 9/3               23: 25/22 22/20
 11) 42:                         22: 20/18 20/18 12/10 10/8
 12) 62:                         22: 10/8 8/6 6/4 8/6
 13) 66:                         65: 18/12 18/13
 14) 23: 25/22 8/6               41: 12/8 4/3
 15) 33: 25/22 8/5 8/5 9/6       66: 
 16) 46: 22/16 16/12             34: 25/22
 17) 21: 4/3 3/1                 63: 25/22
 18) 54: 9/4 12/8                53: 25/22 22/17
 19) 31: 25/24 6/3               64: 
 20) 56: 24/18 18/13             24: 
 21) 65: 13/8 24/18              52: 
 22) 24: 24/22 22/18             11: 
 23) 43: 6/3 18/14               22: 
 24) 22: 8/6 18/16 14/12 12/10   56: 
 25) 24: 16/12 10/8              33: 
 26) 16: 12/6 6/5                41: 
 27) 34: 8/4 6/3                 22: 
 28) 14: 4/0 5/4                 63: 
 29) 31: 3/0 4/3                 25: 
 30) 13: 5/2 5/4                 26: 
 31) 22: 6/4 6/4 2/0 4/2         13: 
 32) 24: 4/0 2/0                 21: 
 33) 43: 4/0 3/0                 64: 25/19
 34) 21: 4/2 4/3                 35: 25/20 20/17
 35) 54: 3/0 3/0                 25: 17/12 8/6
 36) 54: 3/0 2/0                 25: 19/14 8/6
 37) 36: 2/0 2/0                 54: 14/9 9/5
 38) 21: 1/0 1/0                
      Wins 4 points
