Game10
 Poem NISHIMURA@CHIBA-O : 6            Seiichi NAGAI : 5
  1)                                   54: 13/9 13/8                     
  2) 41: 13/9 6/5                      65: 24/13                         
  3) 65: 24/13                         62: 24/16*                        
  4) 42: Bar/23 13/9*                  42: Bar/23 13/9                   
  5) 43: 13/9 8/5                      62: 23/15                         
  6) 21: 13/10*                        43: Bar/22 13/9                   
  7) 43: 24/20 23/20                   32: 6/4 6/3                       
  8) 64: 13/3*                         21: Bar/24 6/4                    
  9) 53: 13/8 6/3                      11: 13/11(2)                      
 10) 53: 10/5 8/5                      53: 9/6 8/3                       
 11) 41: 8/4 5/4                       53: 9/6 9/4                       
 12) 11: 9/7(2)                        61: 24/17*                        
 13) 65: Bar/20 7/1                    65: 17/6                          
 14) 61: 7/1 5/4                       51: 6/1 4/3                       
 15) 51: 20/15 6/5                     52: 8/1                           
 16) 53: 15/10 5/2                     55: 11/6(2) 8/3(2)                
 17) 22: 10/2                          22: 4/Off(2)                      
 18) 64: 20/10                         44: 6/2(4)                        
 19) 32: 10/5                          41: 6/2 1/Off                     
 20) 54: 20/11                         21: 2/Off 1/Off                   
 21) 53: 11/6 3/Off                    43: 6/2 3/Off                     
 22) 44: 6/2 4/Off(3)                  66: 3/Off(4)                      
 23) 52: 5/Off 2/Off                   31: 2/1 2/Off                     
 24) 41: 6/2 1/Off                     22: 2/Off(3) 1/Off                
                                        Wins 1 point



 
