Game5
 Petko Kostadinov : 1                  Victor Ashkenazi : 5
  1) 61: 13/7 8/7                      41: 24/23 13/9                    
  2) 62: 24/16*                        62: Bar/23 13/7                   
  3)  Doubles => 2                      Takes                            
  4) 65: 24/18* 18/13                  52: Bar/20 6/4                    
  5) 65: 16/5*                         62: Bar/23 13/7                   
  6) 33: 8/5(2) 6/3(2)                 51: 8/3 4/3                       
  7) 21: 6/4 5/4                       51: 24/23 7/2                     
  8) 43: 13/6                          51: 8/2                           
  9) 65: 13/7 6/1                      62: 23/17 6/4                     
 10) 41: 13/8*                         63: Cannot Move                   
 11) 31: 8/5 7/6                       66: Cannot Move                   
 12) 51: 6/1 5/4                       42: Bar/23 8/4                    
 13) 51: 13/7                          33: 13/7(2)                       
 14) 66: 13/1 7/1(2)                   54: 23/18* 18/14                  
 15) 31: Bar/24 4/1                    52: 23/16                         
 16) 54: 24/15                         62: 16/10* 14/12                  
 17) 52: Bar/20 6/4                    53: 12/9 10/5*                    
 18) 41: Bar/20*                       65: Bar/19* 19/14                 
 19) 66: Cannot Move                   31: 9/5*                          
 20) 44: Cannot Move                   42: 14/10 7/5                     
 21) 33: Cannot Move                   54: 23/14                         
 22) 62: Cannot Move                   53: 23/18 10/7                    
 23) 61: Bar/24                        63: 7/4 7/1*                      
 24) 52: Cannot Move                   44: 18/6 14/10                    
 25) 42: Cannot Move                   53: 10/7 6/1                      
 26) 32: Cannot Move                   62: 7/5 6/Off                     
 27) 21: Cannot Move                   41: 5/Off                         
 28) 21: Cannot Move                   42: 6/4 6/2                       
 29) 61: Bar/19                        31: 4/Off                         
 30) 53: Cannot Move                   63: 5/2 5/Off                     
 31) 43: Cannot Move                   43: 4/1 4/Off                     
 32) 32: Cannot Move                   43: 4/Off 3/Off                   
 33) 61: Bar/18                        43: 3/Off 2/Off                   
 34) 65: 19/14 18/12                   66: 2/Off(3) 1/Off                
 35) 54: 14/9 12/8                     66: 1/Off(2)                      
                                        Wins 4 point and the match




