Game5
 Nishikawa : 2                         shun : 4
  1)                                   41: 24/23 13/9                    
  2) 31: 8/5 6/5                       33: 8/5(2) 6/3(2)                 
  3) 44: 8/4(2) 6/2*(2)                32: Bar/22 24/22                  
  4) 63: 24/15                         51: 13/8 9/8                      
  5) 54: 15/6                          55: 22/17(2) 13/3                 
  6) 42: 13/7                          64: 17/13 17/11                   
  7) 61: 13/7 6/5                       Doubles => 2                     
  8)  Takes                            41: 11/7 8/7                      
  9) 22: 13/11 7/3 5/3                 43: 13/6                          
 10) 31: 24/21 7/6                     55: 13/8 13/3 6/1                 
 11) 63: 13/10 13/7                    62: 8/2 3/1                       
 12) 41: 10/5                          61: 8/7 8/2                       
 13) 43: 11/4                          52: 7/5 6/1                       
 14) 64: 21/11                         54: 7/3 7/2                       
 15) 61: 11/5 7/6                      61: 6/Off 1/Off                   
 16) 43: 4/Off 3/Off                   62: 6/Off 2/Off                   
 17) 11: 2/Off(2)                      32: 3/Off 2/Off                   
 18) 32: 5/Off                         65: 5/Off(2)                      
 19) 65: 6/Off 5/Off                   43: 5/2 3/Off                     
 20) 63: 6/Off 3/Off                   41: 3/Off 1/Off                   
 21) 42: 6/Off                         32: 3/Off 2/Off                   
                                        Wins 2 point



 
