Game2
 kitaji : 4                            TJ : 0
  1) 42: 8/4 6/4                       21: 24/23 13/11                   
  2) 62: 24/18 6/4                     31: 8/5 6/5                       
  3) 62: 24/18 13/11                   22: 24/22 13/11 6/4(2)            
  4) 61: 11/5 6/5                      32: 13/8                          
  5) 61: 13/6                          65: 22/11                         
  6) 11: 6/3 4/3                       63: 11/2                          
  7) 54: 13/4                          62: 8/6 8/2                       
  8) 64: 13/9 8/2*                     62: Bar/23* 23/17*                
  9) 22: Cannot Move                   51: 17/16* 13/8                   
 10) 33: Bar/22(3) 13/10               21: 16/15* 13/11                  
 11) 32: Bar/22 4/2                    44: 15/11 8/4(2) 6/2              
 12) 32: 18/13                         62: 11/5 4/2                      
 13) 53: 13/5                          51: 11/6 2/1                      
 14) 11: 18/17 5/2                     64: 11/7 11/5                     
 15) 32: 17/12                         43: 7/Off                         
 16) 32: 12/7                          64: 6/Off 4/Off                   
 17) 65: 22/17 22/16                   41: 5/Off                         
 18) 65: 16/5                          42: 6/4 6/2                       
 19) 52: 17/12 7/5                     61: 5/Off 1/Off                   
 20) 51: 12/6                          11: 5/4(2) 2/Off                  
 21) 64: 22/12                         21: 2/1 2/Off                     
 22) 32: 12/7                          42: 4/Off 2/Off                   
 23) 41: 22/18 7/6                     31: 4/Off                         
 24) 66: 18/Off 6/Off                  51: 4/Off 1/Off                   
 25) 53: ????                           Wins 1 point



 
