Game4
 Seiichi Nagai : 1                     Takeo Takizawa@Chiba-O : 5
  1)                                   51: 24/23 13/8                    
  2) 32: 24/21 13/11                   52: 13/8 6/4*                     
  3) 62: Bar/23 8/2*                   11: Bar/23* 6/4                   
  4) 21: Bar/24 13/11                  65: 24/18 23/18                   
  5) 55: 23/18 13/8 6/1(2)             42: 13/7*                         
  6) 32: Bar/22 24/22                  42: 13/7                          
  7) 51: 13/8 13/12*                   66: Cannot Move                   
  8) 55: 11/6(2) 8/3(2)                42: Bar/21 8/6                    
  9) 33: 12/6 8/5(2)                   42: 21/17 18/16                   
 10) 11: 6/4(2)                        22: 18/14 16/14 8/6               
 11) 52: 22/15                         65: 17/6                          
 12) 61: 22/15                         42: 8/4 6/4                       
 13) 32: 24/22 6/3                     51: 8/3* 4/3                      
 14) 11: Bar/23 6/5 3/2                53: 8/3 6/3                       
 15) 42: 6/4 6/2                       43: 7/4 7/3                       
 16) 64: 23/13                         54: 6/2 6/1                       
 17) 64: 13/3                          63: 14/11 14/8                    
 18) 62: 15/13 15/9                    54: 11/6 8/4                      
 19) 65: 13/7 9/4                      42: 4/Off 2/Off                   
 20) 21: 7/5 1/Off                     32: 4/2 3/Off                     
 21) 41: 4/Off 1/Off                   42: 4/Off 2/Off                   
 22) 64: 5/Off 4/Off                   42: 6/Off                         
 23) 66: 5/Off(3) 4/Off                55: 6/1(2) 4/Off(2)               
 24) 21: 3/Off                         61: 3/Off 1/Off                   
 25) 61: 4/Off 2/1                     53: 3/Off(2)                      
 26)  Doubles => 2                      Takes                            
 27) 43: 3/Off(2)                      53: ????                          
      Wins 2 point



 
