Game6
 Seiichi Nagai : 5                     Takeo Takizawa@Chiba-O : 5
  1) 32: 24/21 13/11                   21: 24/23 6/4*                    
  2)  Doubles => 2                      Takes                            
  3) 43: Bar/21* 24/21                 62: Bar/23 24/18                  
  4) 54: 13/8 11/7*                    43: Bar/18*                       
  5) 51: Bar/20 8/7*                   53: Bar/22 23/18*                 
  6) 43: Bar/21 6/3*                   55: Bar/5*                        
  7) 31: Bar/22 21/20*                 11: Bar/24 23/22* 6/5*(2)         
  8) 53: Bar/22                        54: 22/18 13/8                    
  9) 55: Cannot Move                   43: 24/20 13/10                   
 10) 54: Bar/16                        52: 20/18 10/5                    
 11) 55: 21/11(2)                      52: 18/13 8/6                     
 12) 52: 16/11 6/4                     43: 13/6                          
 13) 31: 8/5 6/5                       43: 13/6                          
 14) 53: 13/8 11/8                     55: 18/8(2)                       
 15) 61: 11/4                          41: 8/4 5/4                       
 16) 21: 11/9 8/7                      11: 8/7(2) 6/4                    
 17) 41: 8/3                           64: 13/9 13/7                     
 18) 42: 9/3                           64: 9/5 7/1                       
 19) 55: 13/8 13/3 7/2                 62: 8/6 8/2                       
 20) 31: 8/5 3/2                       22: 7/5(2) 6/4 2/Off              
 21) 55: 22/7 8/3                      51: 5/Off 1/Off                   
 22) 43: 8/1                           54: 5/Off 4/Off                   
 23) 62: 22/16 7/5                     54: 5/Off 4/Off                   
 24) 42: 16/10                         51: 5/Off 4/3                     
 25) 42: 10/6 2/Off                    42: 6/Off                         
 26) 63: 6/Off 3/Off                   42: 6/Off                         
 27) 51: 5/Off 1/Off                   33: 6/Off(2)                      
 28) 32: 3/Off 2/Off                   33: 5/Off 4/1 3/Off               
 29) 22: ????                           Wins 7 point and the match




