Game2
 kihara@tamao- : 1              ayumi : 0
  1)                             36: 13/10 24/18 
  2) 35: 6/3 8/3                 15: 24/23 23/18 
  3) 35: 24/21 13/8              15: 6/5 10/5 
  4) 26: 21/15 15/13             33: 13/10 13/10 10/7 10/7
  5) 45: 13/9 9/4                 Doubles => 2
  6)  Takes                      46: 13/9 13/7 
  7) 26: 24/22 22/16*            23: 25/23 7/4 
  8) 15: 4/3 13/8                15: 6/5 23/18 
  9) 12: 16/15 15/13             55: 18/13 18/13 18/13 13/8
 10) 46: 8/4 13/7                56: 7/2 8/2 
 11) 22: 13/11 13/11 13/11 7/5   26: 8/6 13/7 
 12) 12: 11/10 8/6               33: 13/10 10/7 8/5 8/5
 13) 34: 8/5 8/4                 45: 7/3 7/2 
 14) 36: 11/8 11/5               44: 7/3 5/1 5/1 4/0
 15) 32: 10/7 7/5                36: 3/0 6/0 
 16) 11: 8/7 7/6 5/4 3/2         15: 1/0 5/0 
 17) 15: 6/5 5/0                 23: 2/0 3/0 
 18) 23: 2/0 3/0                 25: 2/0 5/0 
 19) 55: 6/1 5/0 5/0 5/0         16: 1/0 6/0 
 20) 35: 3/0 6/1                 23: 2/0 6/3 
 21) 44: 6/2 4/0 4/0 4/0         26: 5/3 6/0 
 22) 56: 6/1 6/0                 32: 3/0 3/1 
 23) 13: 1/0 2/0                 12: 1/0 
                                  Wins 2 points

 
