Game10
 Kazuki Yokota : 11                    TJ : 10
  1) 31: 8/5 6/5                       61: 13/7 8/7                      
  2) 33: 24/21(2) 13/10(2)             41: 13/8                          
  3)  Doubles => 2                      Takes                            
  4) 66: 21/15(2) 13/7(2)              43: 8/4 7/4                       
  5) 61: 13/7 6/5                      65: 13/7 8/3                      
  6) 51: 10/9 10/5                     51: 8/3 6/5                       
  7) 43: 8/4 7/4                       61: 24/17*                        
  8) 65: Bar/20* 15/9                  53: Bar/17                        
  9) 64: 20/16 15/9                    31: 13/9*                         
 10) 51: Bar/20 5/4                    63: 13/7 9/6                      
 11) 64: 20/10                         42: 17/13 17/15*                  
 12) 32: Bar/20                        44: 13/5* 6/2(2)                  
 13) 52: Bar/20* 9/7                   32: Bar/22 7/5*                   
 14) 51: Bar/20* 4/3*                  33: Bar/22*(2) 15/9               
 15) 62: Cannot Move                   62: 9/3 7/5*                      
 16) 54: Bar/20*                       64: Cannot Move                   
 17) 21: Bar/24 20/18*                 65: Cannot Move                   
 18) 32: 6/1*                          11: Bar/24*(3) 24/23              
 19) 33: Cannot Move                   62: 24/22 23/17                   
 20) 31: Bar/24 18/15                  41: 24/23 17/13                   
 21) 31: 15/12* 7/6                    64: Cannot Move                   
 22) 63: 24/18 5/2*                    11: Bar/23*(2)                    
 23) 65: Bar/20 24/18                  22: 6/2 3/1(2)                    
 24) 55: 18/8(2)                       62: 3/1                           
 25) 65: 20/14 6/1                     31: 6/5 6/3                       
 26) 32: 14/11 12/10                   21: 5/3 2/1                       
 27) 32: 10/5                          62: 4/2                           
 28) 55: 11/1 9/4(2)                   43: 4/1                           
 29) 63: 7/4 7/1                       31: 2/1                           
 30) 62: 8/6                           53: 22/17* 17/14                  
 31) 53: Bar/17                        33: 14/8* 8/2                     
 32) 43: Bar/18                        54: 22/18 22/17                   
 33) 43: 18/14 4/1                     54: 18/13 17/13                   
 34) 64: 14/4                          53: 13/10 13/8                    
 35) 62: 6/Off 5/3                     51: 23/22* 22/17                  
 36) 53: Bar/17*                       66: Cannot Move                   
 37) 51: 17/11                         61: Cannot Move                   
 38) 64: 11/5 4/Off                    52: Bar/23 17/12                  
 39) 54: 5/Off 4/Off                   62: 12/6 10/8                     
 40) 31: 4/Off                         62: 23/17 8/6                     
 41) 52: 6/4 6/1                       42: 17/11                         
 42) 52: 5/3 5/Off                     64: 11/1                          
 43) 55: 4/Off(3) 3/Off                65: 23/12                         
 44) 65: 1/Off(2)                      61: ????                          
      Wins 2 point



 
