Game6
 Kit Woolsey : 5                       Gary Bauer : 4
  1)                                   42: 8/4 6/4                       
  2) 32: 24/22 13/10                   32: 6/3* 3/1*                     
  3) 52: Bar/23 Bar/20                 54: 24/15*                        
  4) 51: Bar/24* 13/8                  52: Bar/20 15/13                  
  5) 21: 23/20                         31: 24/20                         
  6) 65: 24/13                         64: 13/3                          
  7) 42: 8/4 6/4                       66: 20/8(2)                       
  8) 41: 13/9 6/5                      43: 13/6                          
  9) 64: 13/7 9/5                      62: 8/2 6/4                       
 10) 64: 8/2 7/3                       42: 8/2                           
 11) 53: 8/5 8/3                       21: 3/1 2/1                       
 12) 66: 20/8(2)                       63: 13/7 8/5                      
 13) 33: 13/10 13/4                    65: 13/8 13/7                     
 14) 61: 10/4 8/7                      61: 13/6                          
 15) 52: 8/6 7/2                       43: 8/5 7/3                       
 16)  Doubles => 2                      Takes                            
 17) 61: 6/Off 2/1                     62: 8/2 7/5                       
 18) 65: 6/Off 5/Off                   43: 4/Off 3/Off                   
 19) 41: 4/Off 1/Off                   32: 6/3 2/Off                     
 20) 52: 5/Off 2/Off                   32: 3/Off 2/Off                   
 21) 32: 4/2 3/Off                     42: 6/Off                         
 22) 53: 5/Off 3/Off                   61: 6/Off 1/Off                   
 23) 51: 6/Off                         66: 6/Off 5/Off(3)                
 24) 11: 6/5 4/3 2/Off                  Doubles => 4                     
 25)  Drops                             Wins 2 point



 
