Game10
 Kazuki Yokota : 10                    Kiyokazu Nishikawa : 9
  1)                                   53: 8/3 6/3                       
  2) 43: 24/21 13/9                    54: 13/4*                         
  3) 62: Bar/23 24/18                  41: 8/4 8/7*                      
  4) 32: Bar/23 13/10                  43: 24/21 24/20                   
  5) 41: 9/5* 6/5                      22: Bar/21 13/11(2)               
  6) 53: 23/18* 13/10                  21: Bar/22                        
  7) 61: 23/17 18/17                   41: 22/18 6/5                     
  8) 55: 13/3(2)                       54: 18/13 6/2                     
  9) 43: 8/5 6/2                       42: 13/7                          
 10) 52: 10/8 10/5                     22: 11/9(2) 7/5 4/2               
 11) 41: 5/1 2/1                       22: 9/7 9/5 6/4                   
 12) 64: 8/2 6/2                       66: 21/9(2)                       
 13) 33: 17/11(2)                      32: 13/11 9/6                     
 14)  Doubles => 2                      Takes                            
 15) 64: 11/5 8/4                      65: 13/7 11/6                     
 16) 66: 11/5 8/2 6/Off(2)             54: 9/4 7/3                       
 17) 43: 4/Off 3/Off                   61: 7/Off                         
 18) 53: 5/Off 3/Off                   63: 6/Off 3/Off                   
 19) 44: 5/1(4)                        61: 6/Off 2/1                     
 20) 22: 2/Off(3) 1/Off                42: ????                          
      Wins 2 point



 
