Game2
 Hollederer,1920 : 0             Nahmad,1850 : 1
  1) 53: 8/3 6/3                 44: 24/20 24/20 13/9 13/9 
  2) 61: 13/7 8/7                61: 13/7 8/7 
  3) 43: 8/4 7/4                 65: 13/7 13/8 
  4) 53: 13/8 7/4                52: 9/4 6/4 
  5) 31: 6/3 8/7                 65: 9/3 8/3 
  6) 51: 13/8 8/7                53: 8/3 7/4 
  7) 65: 7/1 6/1                 65: 20/14 8/3 
  8) 52: 13/11* 11/6             61: 
  9) 51: 13/8 6/5*               61: 
 10) 43: 24/20 8/5               54: 
 11) 21: 4/2 3/2                 66: 
 12) 65: 20/14 14/9              66: 
 13) 21: 9/7 24/23               55: 
 14) 63: 23/17 17/14             53: 
 15) 31: 14/11 7/6               64: 
 16) 33: 11/8 8/5 7/4 4/1        53: 
 17) 31: 6/3 5/4                 66: 
 18) 11: 3/2 2/1 1/0 1/0         54: 
 19) 21: 6/4 6/5                 61: 25/19 
 20) 41: 5/1 1/0                 54: 
 21) 42: 4/0 4/2                 65: 25/19 19/14 
 22) 52: 5/0 2/0                 53: 14/9 9/6 
 23) 44: 5/1 4/0 4/0 3/0         61: 19/13 7/6 
 24) 54: 3/0 2/0                 11: 13/12 12/11 11/10 7/6 
 25) 54: 2/0 1/0                 31: 10/7 7/6 
 26) 21: 1/0 1/0                 
      Wins 2 points              

 
