Game10
 Martha Gjelseth : 7             Arild Idsoe : 8
  1) 24: 8/4 6/4                 13: 8/5 6/5 
  2) 42: 13/9 13/11              24: 8/4 6/4 
  3) 61: 11/5 6/5                56: 24/18 18/13 
  4) 41: 6/2 2/1*                41: 25/24* 13/9 
  5) 13: 25/22 9/8               62: 13/7 9/7 
  6) 11: 24/23 23/22 8/7 8/7     43: 8/4 13/10 
  7) 42: 13/9 24/22              45: 10/5 6/2 
  8) 14: 13/9 9/8                63: 13/7 5/2 
  9)  Doubles => 2                Takes
 10) 11: 9/8 8/7 7/6 6/5         65: 13/7 13/8 
 11) 33: 7/4 7/4 4/1* 4/1        63: 25/22 8/2 
 12) 52: 8/3* 5/3                11: 
 13) 25: 22/17 8/6               65: 
 14) 42: 17/13 13/11             22: 25/23 7/5 7/5 4/2 
 15) 24: 6/2* 13/11              11: 
 16) 66: 22/16 22/16 16/10 10/4  11: 
 17) 61: 11/5 2/1                34: 
 18) 62: 16/10 11/9              63: 
 19) 35: 10/5 9/6                33: 
 20) 32: 5/2 4/2                 66: 
 21) 63: 6/0 5/2                 43: 
 22) 12: 2/0 1/0                 11: 
 23) 34: 6/2 6/3                 34: 
 24) 21: 3/1 1/0                 22: 
 25) 32: 5/2 5/3                 65: 25/19 19/14 
 26) 61: 4/0 1/0                 31: 14/11 7/6 
 27) 64: 4/0 3/0                 41: 11/7 7/6 
 28) 11: 2/1 2/1 1/0 1/0         11: 
      Wins 2 points              

 
